stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding                                                                                                                                                                                                                       
17000,,Estación de tren Madrid-Chamartin,,40.4720993,-3.6824687,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                           
37606,,Estación de tren Badajoz,,38.8906960,-6.9817530,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
37603,,Estación de tren Montijo,,38.9135390,-6.5985770,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
37500,,Estación de tren Merida,,38.9215030,-6.3437940,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
35400,,Estación de tren Caceres,,39.4611310,-6.3856790,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
30000,,Estación de tren Monfrague,,39.9374640,-6.1009100,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                  
35206,,Estación de tren Navalmoral de La Mata,,39.8949130,-5.5456070,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                      
35203,,Estación de tren Oropesa de Toledo,,39.9217460,-5.1861370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                          
35200,,Estación de tren Talavera de La Reina,,39.9706740,-4.8265120,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                       
35105,,Estación de tren Torrijos,,39.9790030,-4.2830370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                   
18000,,Estación de tren Madrid - Atocha Cercanias,,40.4061556,-3.6889579,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                  
35001,,Estación de tren Leganes,,40.3286349,-3.7711552,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
56312,,Estación de tren Almeria,,36.8349510,-2.4555190,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
56200,,Estación de tren Guadix,,37.3168730,-3.1272090,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                     
56009,,Estación de tren Cabra del Santo Cristo Y Alicun,,37.6567129,-3.2626230,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                            
56004,,Estación de tren Jodar-Ubeda,,37.9133430,-3.3489200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                
50300,,Estación de tren Linares-Baeza,,38.0688640,-3.5893960,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                              
60400,,Estación de tren Alcazar de San Juan,,39.3956280,-3.2057440,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                        
56100,,Estación de tren Moreda,,37.4312160,-3.3105160,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                     
56301,,Estación de tren Finyana,,37.1846470,-2.8397570,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
56308,,Estación de tren Gador,,36.9516240,-2.4876580,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                      
11200,,Estación de tren Miranda de Ebro,,42.6910240,-2.9403660,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                            
13200,,Estación de tren Bilbao-Abando Indalecio Prieto,,43.259609,-2.92915,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                
13106,,Estación de tren Llodio,,43.142721,-2.959916,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
11511,,Estación de tren San Sebastian/donostia,,43.317669,-1.976704,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                       
11208,,Estación de tren Vitoria/gasteiz,,42.8415170,-2.6726010,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                            
11300,,Estación de tren Altsasu/alsasua-Estacion,,42.8948470,-2.1812370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                   
11400,,Estación de tren Zumarraga,,43.088273,-2.318462,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
22308,,Estación de tren Vigo Guixar,,42.2392656,-8.7146089,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                
94346,,Estación de tren Porto Campanha,,41.1489,-8.58544,,,,,Europe/Lisbon,1                                                                                                                                                                                                                                                                                  
94021,,Estación de tren Nine,,41.45534,-8.54513,,,,,Europe/Lisbon,1                                                                                                                                                                                                                                                                                           
94033,,Estación de tren Viana D Castelo,,41.69517,-8.83134,,,,,Europe/Lisbon,1                                                                                                                                                                                                                                                                                
22402,,Estación de tren Valenca Do Minho,,42.0247340,-8.6397450,,,,,Europe/Lisbon,2                                                                                                                                                                                                                                                                           
04104,,Estación de tren Camp Tarragona,,41.1920660,1.27266600,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                             
78400,,Estación de tren Lleida,,41.6206960,0.63266900,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
04040,,Estación de tren Zaragoza-Delicias,,41.658649,-0.911615,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                            
81202,,Estación de tren Tudela de Navarra,,42.0594340,-1.5979310,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                          
81200,,Estación de tren Castejon de Ebro,,42.1727190,-1.6921140,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                           
81108,,Estación de tren Calahorra,,42.3104580,-1.9577550,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                  
81100,,Estación de tren Logronyo,,42.4574590,-2.4421930,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                   
81002,,Estación de tren Haro,,42.5836350,-2.8493960,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
80100,,Estación de tren Pamplona/irunya,,42.8248770,-1.6614190,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                            
80108,,Estación de tren Tafalla,,42.5257560,-1.6714670,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
20309,,Estación de tren Lugo,,43.0152220,-7.5521760,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                       
22100,,Estación de tren Ourense,,42.3503890,-7.8727770,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
20300,,Estación de tren Monforte de Lemos,,42.5296820,-7.5035890,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                          
20305,,Estación de tren Sarria,,42.7840490,-7.4188220,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                     
60000,,Estación de tren Madrid-Puerta de Atocha,,40.4064420,-3.6908860,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                    
04007,,Estación de tren Guadalajara - Yebes,,40.5873150,-3.1243010,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                        
70600,,Estación de tren Calatayud,,41.3466920,-1.6386800,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                  
11014,,Estación de tren Burgos-Rosa de Lima,,42.3711970,-3.6663080,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                        
14100,,Estación de tren Palencia,,42.0157110,-4.5341350,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                   
15100,,Estación de tren Leon,,42.5960480,-5.5824280,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                       
20100,,Estación de tren Astorga,,42.4594890,-6.0472120,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
20111,,Estación de tren Bembibre,,42.6095580,-6.4220480,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                   
20200,,Estación de tren Ponferrada,,42.5454290,-6.6023760,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                 
20211,,Estación de tren O Barco de Valdeorras,,42.4183010,-6.9850300,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                      
20213,,Estación de tren A Rua-Petin,,42.3927600,-7.1132840,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                
20216,,Estación de tren San Clodio-Quiroga,,42.4652710,-7.2871980,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                         
22300,,Estación de tren Redondela,,42.2860050,-8.6194020,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                  
22200,,Estación de tren Guillarei,,42.0656630,-8.6225300,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                  
22201,,Estación de tren O Porrinyo,,42.1641900,-8.6220200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                 
31412,,Estación de tren A Corunya,,43.3496932,-8.4155629,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                  
31400,,Estación de tren Santiago de Compostela,,42.8708420,-8.5446970,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                     
30100,,Estación de tren Salamanca,,40.9722350,-5.6489900,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                  
10600,,Estación de tren Valladolid,,41.6421670,-4.7269860,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                 
10500,,Estación de tren Medina del Campo,,41.3176170,-4.9099230,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                           
51405,,Estación de tren Cadiz,,36.5290083,-6.2882055,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                      
03216,,Estación de tren Valencia Joaquin Sorolla,,39.4590510,-0.3829230,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                   
60600,,Estación de tren Albacete-Los Llanos,,38.9993840,-1.8484500,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                        
60500,,Estación de tren Villarrobledo,,39.2608680,-2.5986210,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                              
60406,,Estación de tren Socuellamos,,39.2787760,-2.7755710,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                
50100,,Estación de tren Manzanares,,39.0058370,-3.3705070,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                 
50102,,Estación de tren Valdepenyas,,38.7628680,-3.3957200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                
50207,,Estación de tren Vilches,,38.2157420,-3.5175760,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
50400,,Estación de tren Espeluy,,38.0102470,-3.8327260,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
50403,,Estación de tren Andujar,,38.0282250,-4.0660360,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
50500,,Estación de tren Cordoba,,37.8882910,-4.7894530,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
51003,,Estación de tren Sevilla-Santa Justa,,37.3921277,-5.9752694,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                        
51300,,Estación de tren Jerez de La Frontera,,36.6800290,-6.1264716,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                       
51400,,Estación de tren Puerto de Santa Maria,,36.6037962,-6.2171641,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                      
51406,,Estación de tren San Fernando-Bahia Sur,,36.4680361,-6.2067638,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                     
81109,,Estación de tren Rincon de Soto,,42.2300110,-1.8474730,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                             
81110,,Estación de tren Alfaro,,42.1865250,-1.7479850,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                     
04307,,Estación de tren Figueres Vilafant,,42.2647710,2.94354700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                          
79300,,Estación de tren Girona,,41.9793030,2.81700600,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
65200,,Estación de tren Sagunt/sagunto,,39.6756611,-0.2715972,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                             
65304,,Estación de tren Orpesa,,40.0922580,0.13986100,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                     
54413,,Estación de tren Malaga Maria Zambrano,,36.7113388,-4.4313888,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                      
37300,,Estación de tren Puertollano,,38.6912800,-4.1116550,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                
37200,,Estación de tren Ciudad Real,,38.9853000,-3.9136330,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                
02003,,Estación de tren Antequera-Santa Ana,,37.0698810,-4.7190140,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                        
02002,,Estación de tren Puente Genil-Herrera,,37.3579000,-4.8216380,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                       
37704,,Estación de tren Villanueva de Cordoba-Los Pedroches,,38.2554049,-4.5709520,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                        
05000,,Estación de tren Granada,,37.1840380,-3.6091540,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
02030,,Estación de tren Antequera AV,,37.0334437,-4.5612901,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                               
05012,,Estación de tren Loja,,37.1753720,-4.1348410,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
43019,,Estación de tren Huelva,,37.2530790,-6.9509710,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
43011,,Estación de tren La Palma del Condado,,37.3906650,-6.5544440,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                       
74200,,Estación de tren Huesca,,42.1335940,-0.4097450,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
78200,,Estación de tren Tardienta,,41.9757160,-0.5382230,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                  
03208,,Estación de tren Cuenca Fernando Zobel,,40.0351920,-2.1444100,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                      
30200,,Estación de tren Zamora,,41.5158920,-5.7396750,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
21010,,Estación de tren Ferrol,,43.4880349,-8.2311430,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
08004,,Estación de tren Segovia Guiomar,,40.9105770,-4.0945640,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                            
08240,,Estación de tren Medina del Campo Alta Velocidad,,41.3174590,-4.9100710,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                            
08247,,Estación de tren PUEBLA DE SANABRIA LLEGADA,,42.0457630,-6.6268480,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                 
08251,,Estación de tren A GUDIÑA-PORTA DE GALICIA,,42.0606439,-7.1325320,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                  
